autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z
REAPER Mania,Controlling Volume in REAPER - Part 1,https://www.youtube.com/watch?v=cfx8KUGoXJE,Beginner Guides (Beginner Guides),30978,2023-08-10,10:49,649,18.83,-81.2,23.89
The REAPER Blog,What's New in REAPER 5.0 | VST3; VCA Grouping; Video Editing; ReaScript Editor,https://www.youtube.com/watch?v=zmRndKJExvg,Custom Scripts & Actions (Custom Scripts & Actions),30368,2016-08-11,15:15,915,66.96,-80.65,78.17
IDDQD Sound,How to Route Audio from your Computer to your DAW (Mac ONLY),https://www.youtube.com/watch?v=SQbVVpFmh7Y,Beginner Guides (Beginner Guides),29837,2022-08-10,06:05,365,-4.48,5.92,1.21
Dominik „Wodzu” Bodzek,How to make beats in Reaper with NO HARDWARE | Wodzu Beats,https://www.youtube.com/watch?v=EwvszXMysiI,"JSFX & Plugin DSP (JSFX & Plugin DSP, Audio Mixing & Routing, MIDI Editing & Virtual Instruments, Control Surfaces & Hardware)",29480,2022-08-10,05:01,301,62.4,-107.47,-52.24
Reapertips | Alejandro,What HAPPENED to REAPER in a Year?!,https://www.youtube.com/watch?v=IAAXyaW8Quc,Beginner Guides (Beginner Guides),29030,2026-04-11,20:38,1238,-120.0,120.0,-14.75
Reaper for Podcasting,Reaper for Podcasting: A Beginner's Guide for New Users,https://www.youtube.com/watch?v=CPeUilYS4rc,Beginner Guides (Beginner Guides),27936,2021-08-10,17:03,1023,24.99,-33.23,53.37
REAPER Mania,Working with Channels in REAPER,https://www.youtube.com/watch?v=uTIdp4i3ePU,Beginner Guides (Beginner Guides),26802,2023-08-10,17:47,1067,22.41,-2.25,16.28
AdmiralBumblebee,Learning to script in Reaper - From Absolute Beginner to GUI-based Sidechaining Script,https://www.youtube.com/watch?v=Z-tlfoHeCIc,"Beginner Guides (Beginner Guides, Custom Scripts & Actions)",26473,2019-08-11,39:42,2382,31.18,-28.06,93.08
REAPER Mania,Tempo Mapping in REAPER,https://www.youtube.com/watch?v=8vYqVIIWVQU,Beginner Guides (Beginner Guides),26368,2025-08-09,11:14,674,48.5,4.83,57.9
REAPER Mania,Top Audio Engineer Reveals FREE Magic7 Reverb Secrets in REAPER | The Free Magic7 Reverb in REAPER,https://www.youtube.com/watch?v=m0RxU7w-xEg,Beginner Guides (Beginner Guides),26292,2025-08-09,09:59,599,50.39,-5.84,-62.9
Simon Larkin,Reaper Tutorial- Routing to busses and send effects- Part 1,https://www.youtube.com/watch?v=M_y5wh9kg-c,"Beginner Guides (Beginner Guides, Audio Mixing & Routing)",26263,2016-08-11,16:22,982,114.24,8.02,-20.56
REAPER Mania,Editing JS Plugins in REAPER,https://www.youtube.com/watch?v=pRIFOTiDp7w,JSFX & Plugin DSP (JSFX & Plugin DSP),25419,2019-08-11,10:00,600,72.61,-65.14,-61.72
REAPER Mania,The Automation Basics in REAPER,https://www.youtube.com/watch?v=IBPIjLLnDhk,Beginner Guides (Beginner Guides),25400,2025-08-09,10:43,643,34.49,-70.57,-6.53
The REAPER Blog,nvk_CREATE - Premium ReaScript pack for Pro Sound Designers,https://www.youtube.com/watch?v=hw_LIQZS5LQ,Custom Scripts & Actions (Custom Scripts & Actions),25290,2022-08-10,28:24,1704,66.79,-67.4,94.98
REAPER Mania,The ReEQ FX Plugin in REAPER,https://www.youtube.com/watch?v=V-v_Mp9YeCE,Beginner Guides (Beginner Guides),25288,2026-04-11,16:42,1002,19.33,24.82,54.61
REAPER Mania,Mastering Song Sections in REAPER,https://www.youtube.com/watch?v=T8d9PNafYn0,Mastering & Loudness (Mastering & Loudness),25210,2025-08-09,12:19,739,60.13,-6.12,22.01
Ricky Summer,How I master my music in Reaper 🎵,https://www.youtube.com/watch?v=0AOE1BuCPqI,Mastering & Loudness (Mastering & Loudness),24163,2020-08-10,21:15,1275,62.4,3.81,42.77
Mike Lane - Game Audio,FMOD vs Wwise (Part 1) | Introduction,https://www.youtube.com/watch?v=S7pL4_yN7RY,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",24100,2018-08-11,02:47,167,49.98,35.85,-36.12
Issac Hernandez,Beginner Reaper Tutorial | How To Record Electric Guitar,https://www.youtube.com/watch?v=yuMdR7OGMmc,Beginner Guides (Beginner Guides),24030,2021-08-10,07:11,431,25.45,13.78,-59.22
The REAPER Blog,MIDI Ex Machina - MIDI generator script for REAPER by RobU23,https://www.youtube.com/watch?v=nCqtbqD_ji0,"Custom Scripts & Actions (Custom Scripts & Actions, MIDI Editing & Virtual Instruments)",24018,2017-08-11,11:55,715,62.0,-97.48,33.34
Learning Reaper,Top 10 Reaper Scripts For 2026,https://www.youtube.com/watch?v=iFenC1RMHvw,Beginner Guides (Beginner Guides),23918,2026-02-10,15:28,928,17.16,-43.21,12.86
Your Home Recording,Reaper DAW Tutorial (Part 3) – Track Setup and Signal Routing,https://www.youtube.com/watch?v=Sfn5B770n8I,Audio Mixing & Routing (Audio Mixing & Routing),23891,2019-08-11,08:19,499,97.7,-30.65,-54.76
The REAPER Blog,9 great JSFX Instruments from Saike and Tilr,https://www.youtube.com/watch?v=zQnvBcHK0uE,JSFX & Plugin DSP (JSFX & Plugin DSP),23816,2025-08-09,39:27,2367,62.24,-70.1,-66.92
REAPER Mania,First Settings to Adjust in REAPER 7,https://www.youtube.com/watch?v=MzdO_Yf1rco,Beginner Guides (Beginner Guides),23654,2025-08-09,28:02,1682,15.07,-78.52,-22.43
Adam Steel,Reaper 101 Part 6:- Routing,https://www.youtube.com/watch?v=3Dx4Viba6Kw,Audio Mixing & Routing (Audio Mixing & Routing),23651,2024-08-09,24:10,1450,94.66,-15.58,-21.01
TutorialsFor Reaper,Tutorials For Reaper | FX Menus and Simple Sends Routing | Quick Add FX | AcmeBarGig | Density MKII,https://www.youtube.com/watch?v=2FRrnUVFQcg,Audio Mixing & Routing (Audio Mixing & Routing),23634,2010-08-13,09:56,596,105.56,-13.54,-60.89
REAPER Mania,Mixing Acoustic Guitars in REAPER,https://www.youtube.com/watch?v=yDQQSs7tikE,Audio Mixing & Routing (Audio Mixing & Routing),22763,2024-08-09,14:31,871,93.13,-22.87,14.64
Dominik „Wodzu” Bodzek,Free FabFilter alternative | JS: ReEQ plugin for Reaper | Reaper music production,https://www.youtube.com/watch?v=9YW-ZNqH5xw,"JSFX & Plugin DSP (JSFX & Plugin DSP, Audio Mixing & Routing, MIDI Editing & Virtual Instruments)",22730,2021-08-10,08:47,527,72.94,-102.91,-44.98
X-Raym,Lua Scripting with REAPER 5 - Part. 1: The Console Output,https://www.youtube.com/watch?v=0Dwonn3Pe2Q,Custom Scripts & Actions (Custom Scripts & Actions),22312,2015-08-12,09:57,597,57.03,-53.06,65.52
The REAPER Blog,How to use ReaSurroundPan for Spatial Audio in REAPER (Part 2),https://www.youtube.com/watch?v=vg28Dok2vqQ,Game Audio & Middleware (Game Audio & Middleware),22301,2022-08-10,32:23,1943,73.54,38.22,13.01
Reapertips Plus,How to install scripts (like Global Sampler) in REAPER using ReaPack & SWS,https://www.youtube.com/watch?v=QBFiJzwS7GI,Beginner Guides (Beginner Guides),21898,2024-08-09,13:47,827,24.3,-0.61,90.94
Let's Talk About Reaper,JSFX ReEQ -  Hidden Gems in REAPER,https://www.youtube.com/watch?v=V8sOxLnsPLg,JSFX & Plugin DSP (JSFX & Plugin DSP),21619,2023-08-10,11:38,698,71.15,-49.94,-110.66
REAPER Mania,Quickly Creating FX Sends & Returns in REAPER,https://www.youtube.com/watch?v=ymOpmgjhqFY,Beginner Guides (Beginner Guides),21433,2025-08-09,09:25,565,34.5,-60.14,70.06
Issac Hernandez,I Lost So Much Time In Reaper | Beginner Tutorial,https://www.youtube.com/watch?v=VbyGFV7PeHc,Beginner Guides (Beginner Guides),21122,2021-08-10,09:55,595,22.72,-17.14,-26.71
REAPER Mania,Adding Saturation Plugins in REAPER,https://www.youtube.com/watch?v=lLr06U7icWs,JSFX & Plugin DSP (JSFX & Plugin DSP),20832,2025-09-13,17:26,1046,71.58,-37.92,-76.24
The REAPER Blog,How to use Radial Menu in REAPER - Lokasenna Radial Menu Script,https://www.youtube.com/watch?v=Zs1qkpF8_tE,Custom Scripts & Actions (Custom Scripts & Actions),20652,2018-08-11,08:10,490,76.65,-44.6,120.0
Ricky Summer,How and when to use a BUS or FOLDER in Reaper 🎵,https://www.youtube.com/watch?v=9YgGr5hCe6Q,Audio Mixing & Routing (Audio Mixing & Routing),20573,2020-08-10,20:51,1251,104.84,-24.74,14.59
Eoin Blunnie,These Free Reaper Plugins BLEW MY MIND!,https://www.youtube.com/watch?v=Up70A7rmCr8,JSFX & Plugin DSP (JSFX & Plugin DSP),20284,2022-08-10,06:09,369,68.53,-52.2,-71.22
The REAPER Blog,How To Master + Publish an EP or Album using REAPER and DistroKid,https://www.youtube.com/watch?v=aj9x-TcnS1k,Beginner Guides (Beginner Guides),20097,2022-08-10,26:41,1601,3.1,-1.33,-29.08
The REAPER Blog,Easy Song Rearranging in REAPER,https://www.youtube.com/watch?v=WXZKIk_-Riw,Beginner Guides (Beginner Guides),19803,2014-08-12,08:41,521,-1.0,-52.22,37.48
The REAPER Blog,How I edit and process field recordings entirely in REAPER,https://www.youtube.com/watch?v=oBTpNwHgHZk,Beginner Guides (Beginner Guides),19613,2019-08-11,26:54,1614,24.39,17.96,19.49
REAPER Mania,The Mixer in REAPER,https://www.youtube.com/watch?v=rPdOKMprtxY,Beginner Guides (Beginner Guides),19328,2026-05-11,15:47,947,15.8,-20.99,19.85
REAPER Mania,JS: General Dynamics plugin in REAPER,https://www.youtube.com/watch?v=1AelNJNDDUs,Beginner Guides (Beginner Guides),19068,2022-08-10,11:10,670,41.55,-16.93,12.99
REAPER Mania,Controlling Volume in REAPER,https://www.youtube.com/watch?v=rwltZnG3xrE,Beginner Guides (Beginner Guides),18906,2024-08-09,18:41,1121,21.09,-90.37,19.16
REAPER Mania,Identify the Loudest Peaks in your Mix in REAPER,https://www.youtube.com/watch?v=GmtDvIkykUQ,Beginner Guides (Beginner Guides),18901,2023-08-10,08:13,493,35.53,-0.23,46.99
REAPER Mania,Mixing Electric Guitars - Part I in REAPER,https://www.youtube.com/watch?v=yIxkGwC1Hkk,Audio Mixing & Routing (Audio Mixing & Routing),18875,2024-08-09,12:20,740,88.51,-24.43,-4.85
The REAPER Blog,How to install JS plugins,https://www.youtube.com/watch?v=KIhrxeE3kK0,JSFX & Plugin DSP (JSFX & Plugin DSP),18828,2016-08-11,04:38,278,68.4,-57.44,-46.2
REAPER Mania,Mixing Just Isn't That Important,https://www.youtube.com/watch?v=pGANjbiysRE,Audio Mixing & Routing (Audio Mixing & Routing),18482,2023-08-10,03:15,195,102.6,-4.94,-0.26
The REAPER Blog,The REAPER Blog Q&A # 22 - Normalizing is bad; favorite plugins; mics for podcasting and more,https://www.youtube.com/watch?v=qZ4nwz6f1Pg,JSFX & Plugin DSP (JSFX & Plugin DSP),17983,2017-08-11,12:35,755,79.32,-66.59,-96.03
Narativ,How to Normalize Audio in Reaper | Quick Tutorial,https://www.youtube.com/watch?v=rLj9-SYAoJ8,Beginner Guides (Beginner Guides),17790,2024-08-09,01:17,77,30.18,31.32,-22.07
REAPER Mania,Calculate Loudness (LUFS) with Actions in REAPER,https://www.youtube.com/watch?v=rAns9x_sDG8,Mastering & Loudness (Mastering & Loudness),17626,2022-08-10,10:00,600,76.77,0.97,30.4
The REAPER Blog,"What's New in REAPER v7.46 update - Pin tracks, Solo Bus, tempo envelope curves and more!",https://www.youtube.com/watch?v=MO3gI0f9Tzo,Audio Mixing & Routing (Audio Mixing & Routing),17612,2025-10-13,28:18,1698,115.95,-30.33,12.09
Daniel Kharrat,how to Mix Church Livestream in Reaper and send it to OBS from MR18/M32 (step by step),https://www.youtube.com/watch?v=40Zs2PPaXFo,Audio Mixing & Routing (Audio Mixing & Routing),17163,2024-08-09,46:00,2760,120.0,-27.28,-40.68
Jay Myers Voiceover,How to Set Up REAPER for Voiceover/Audiobook Narration (Beginner) | Tips from a PRO VO,https://www.youtube.com/watch?v=a_FbkRguEV4,"Beginner Guides (Beginner Guides, Custom Scripts & Actions)",16804,2025-08-09,29:57,1797,38.76,-41.52,99.19
REAPER Mania,The Best FX Plugins Hidden in REAPER - Part 2,https://www.youtube.com/watch?v=OEsU9lhInkk,JSFX & Plugin DSP (JSFX & Plugin DSP),16787,2025-12-12,13:33,813,80.06,-43.42,-96.96
DjangoZa,Routing in REAPER Explained,https://www.youtube.com/watch?v=DgyRfJd9Lto,Audio Mixing & Routing (Audio Mixing & Routing),16672,2019-08-11,18:53,1133,106.04,-34.23,-27.7
Akash Thakkar,Reaper for Game Audio | Part 4 - Working With Tracks,https://www.youtube.com/watch?v=wkWhuf3IxVo,Game Audio & Middleware (Game Audio & Middleware),16331,2020-08-10,17:49,1069,82.01,50.3,13.43
Let's Talk About Reaper,The REAPER Routing Matrix Demystified,https://www.youtube.com/watch?v=oH9ul6jLkKg,Audio Mixing & Routing (Audio Mixing & Routing),15759,2022-08-10,06:26,386,96.34,1.83,-20.07
SuperMetalBro,How to Route GGD Modern and Massive in Reaper,https://www.youtube.com/watch?v=B53E4t9PKeY,Beginner Guides (Beginner Guides),15587,2024-08-09,14:59,899,-8.65,-10.93,-2.24
REAPER Mania,Fastest Way to Create Tracks in REAPER,https://www.youtube.com/watch?v=f_ARf-CLAQY,Beginner Guides (Beginner Guides),15530,2023-08-10,10:45,645,8.97,-8.93,-0.74
The REAPER Blog,Recording song sections with Fixed Item Lanes - REAPER 7,https://www.youtube.com/watch?v=V48KvUO40Qs,Beginner Guides (Beginner Guides),15522,2024-08-09,06:08,368,27.01,-21.93,-94.57
IDDQD Sound,Generating Gain Riding Automation with SWS Loudness tool (Rapid-Fire REAPER Tutorial 101),https://www.youtube.com/watch?v=CqUSI3S7O7Y,Mastering & Loudness (Mastering & Loudness),15493,2022-08-10,12:50,770,82.43,13.58,26.4
Ballast Media,Two Audio Device Outputs from Reaper - Make My Livestream Sound Better,https://www.youtube.com/watch?v=b5DfhunRs6o,Beginner Guides (Beginner Guides),15427,2024-08-09,09:08,548,48.58,3.61,-4.15
urbster1,REAPER Mixer Routing Tutorial,https://www.youtube.com/watch?v=c0JlsXBXklc,Audio Mixing & Routing (Audio Mixing & Routing),14958,2011-08-13,05:40,340,114.18,-26.22,-17.65
The Ultimate Mixdown,Introduction to Beat Making in REAPER - Full Tutorial,https://www.youtube.com/watch?v=rmK5v47gN5c,Beginner Guides (Beginner Guides),14829,2024-08-09,48:02,2882,22.3,-0.72,-37.24
resington,Mastering Metal With Reaper Stock Plugins - Explained,https://www.youtube.com/watch?v=GHIMHaiN5g8,"JSFX & Plugin DSP (JSFX & Plugin DSP, Mastering & Loudness)",14805,2024-08-09,09:22,562,72.4,-5.98,-71.9
The REAPER Blog,What's New in REAPER 7.71 - Non-destructive sample editing and more,https://www.youtube.com/watch?v=r4bDyLZ9V8A,Beginner Guides (Beginner Guides),14777,2026-05-11,29:01,1741,6.68,-29.53,50.56
The REAPER Blog,Auto Phase Align Multi-track Drums in REAPER 7.40,https://www.youtube.com/watch?v=kO_4a2v8h2M,Beginner Guides (Beginner Guides),14723,2025-08-09,05:58,358,3.84,-40.22,-31.33
The REAPER Blog,New features in REAPER 7.48 - Low Pass Item Fade; save/load latch presets and more,https://www.youtube.com/watch?v=_bfBMld2WlA,Beginner Guides (Beginner Guides),14547,2025-10-13,30:45,1845,8.78,-9.77,76.98
Akash Thakkar,Should You Learn FMOD or Wwise? | Game Audio FAQs,https://www.youtube.com/watch?v=f3C2Yxov7bY,Game Audio & Middleware (Game Audio & Middleware),14361,2019-08-11,01:02,62,72.44,61.36,-8.83
Mike Lane - Game Audio,FMOD vs Wwise (Part 2) | How to integrate FMOD with Unreal Engine 4,https://www.youtube.com/watch?v=smiSKOtfLn8,Game Audio & Middleware (Game Audio & Middleware),14248,2018-08-11,05:43,343,63.77,71.07,-34.98
REAPER Mania,The Master Track in REAPER,https://www.youtube.com/watch?v=ct8jJf_Lgeg,Beginner Guides (Beginner Guides),14206,2026-05-11,09:34,574,7.75,-20.91,-43.72
The Ultimate Mixdown,"Producing Beats in REAPER - As Easy as FL Studio, Logic, and Pro Tools!",https://www.youtube.com/watch?v=bsuCiLz1lTo,Beginner Guides (Beginner Guides),13931,2023-08-10,14:56,896,1.51,-71.96,28.9
The REAPER Blog,WT Graphical Sends Script,https://www.youtube.com/watch?v=WrG8vSRA39Y,Custom Scripts & Actions (Custom Scripts & Actions),13882,2026-02-10,13:14,794,72.3,-49.19,97.41
The REAPER Blog,"What's New in REAPER v7.62 - HUGE Ruler, Regions, and Markers overhaul!",https://www.youtube.com/watch?v=k4vVmwKJciI,Beginner Guides (Beginner Guides),13706,2026-03-12,29:44,1784,4.85,2.55,42.81
The REAPER Blog,What's New in REAPER 7.75 – Mixer slots and sample edit spectral repair,https://www.youtube.com/watch?v=s2nqaqjY45U,Beginner Guides (Beginner Guides),13620,2026-07-10,22:29,1349,6.61,-22.15,27.32
REAPER Mania,How to Watch My REAPER Videos (New Users),https://www.youtube.com/watch?v=rzWzQjImz6s,Beginner Guides (Beginner Guides),13250,2024-08-09,03:41,221,18.49,-32.16,66.78
The REAPER Blog,Customizing the MIDI toolbar,https://www.youtube.com/watch?v=67TYzMZCTfE,"Custom Scripts & Actions (Custom Scripts & Actions, MIDI Editing & Virtual Instruments)",13239,2016-08-11,06:48,408,57.76,-85.57,35.6
REAPER Mania,How to Dock Your Meters in REAPER,https://www.youtube.com/watch?v=iPZ3SHg6iCo,Beginner Guides (Beginner Guides),12605,2026-06-10,12:59,779,33.1,-15.35,-0.29
Adam Steel,Reaper 101 Part 9:- Automation,https://www.youtube.com/watch?v=HrwZrh5pZSw,Beginner Guides (Beginner Guides),12337,2024-08-09,12:18,738,28.91,-65.38,7.55
LinuxCreative,Thousands of Free Open Source Plugins You Should Be Using (REAPER JSFX on Any DAW),https://www.youtube.com/watch?v=evGXJJ-rwdw,JSFX & Plugin DSP (JSFX & Plugin DSP),12104,2023-08-10,11:07,667,85.37,-61.55,-65.95
BABYWOLF CAM,Reaper Video Editor Quickstart Guide - The Best Video Editor for Music,https://www.youtube.com/watch?v=dKmehb8Cr1M,Beginner Guides (Beginner Guides),11766,2023-08-10,09:53,593,36.74,-71.02,-38.04
The REAPER Blog,What's New in REAPER 7.66 - the FFMPEG Update and more,https://www.youtube.com/watch?v=zSzHbDvJMZ8,Beginner Guides (Beginner Guides),11702,2026-04-11,20:07,1207,19.52,-10.93,42.61
REAPER Mania,Delay Throws Demystified: A Step-by-Step REAPER Tutorial 2025 | Creating Delay Throws in REAPER,https://www.youtube.com/watch?v=i4MiFG1y7Kc,Beginner Guides (Beginner Guides),11469,2025-08-09,06:32,392,49.9,-59.12,-7.29
The REAPER Blog,How I make a REAPER Blog Video - my recording and streaming setup explained,https://www.youtube.com/watch?v=DRB3YUrg0wk,Beginner Guides (Beginner Guides),11347,2020-08-10,17:35,1055,27.33,-43.28,-53.87
Home Music Maker,"REAPER Master Meter Beginners Guide! ( Plus, Master VU Settings)",https://www.youtube.com/watch?v=8CUIBd7LFvo,Beginner Guides (Beginner Guides),11165,2022-08-10,12:58,778,-6.15,-13.04,-53.7
The REAPER Blog,What's New in REAPER v 5.965,https://www.youtube.com/watch?v=znBePNVS_To,Beginner Guides (Beginner Guides),11049,2019-08-11,15:38,938,15.45,-22.29,48.98
Carlos Eiene,Interactive Game Music Basics in Reaper & Wwise - Demo by Carlos Eiene,https://www.youtube.com/watch?v=wnJH022Z6Mg,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",10786,2021-08-10,41:29,2489,63.14,24.73,-62.97
Rob van Hees,Easy Loudness Analysis in Reaper,https://www.youtube.com/watch?v=-oGxCEEgOGs,Mastering & Loudness (Mastering & Loudness),10667,2015-08-12,02:16,136,70.74,12.77,39.08
The REAPER Blog,How to use REAPER Theme Replacer,https://www.youtube.com/watch?v=qXJ-2GBzNSw,Beginner Guides (Beginner Guides),10582,2026-04-11,13:05,785,47.35,-32.97,5.65
The REAPER Blog,"What's New in REAPER 7.74 - Multi-Mono/Stereo FX Containers, sample edit improvements and more!",https://www.youtube.com/watch?v=re2beb2asQU,Beginner Guides (Beginner Guides),10574,2026-07-10,30:49,1849,2.17,-28.36,17.46
nvk tools,nvk_WORKFLOW - An Extremely Fast Game Audio Workflow in REAPER,https://www.youtube.com/watch?v=6VgYeTqspUM,"Custom Scripts & Actions (Custom Scripts & Actions, Game Audio & Middleware)",10491,2021-08-10,05:43,343,94.32,-39.89,76.03
Frightbox Recording,Mixing In Reaper: Submixes and Routing,https://www.youtube.com/watch?v=dkHQD2CyIm4,Audio Mixing & Routing (Audio Mixing & Routing),10413,2021-08-10,13:15,795,99.29,-19.81,-3.25
Brothers in Metal,REAPER: No BS guide to setting up and editing video(beginners),https://www.youtube.com/watch?v=Jf5goHrZLPE,Custom Scripts & Actions (Custom Scripts & Actions),10282,2021-08-10,07:17,437,75.03,-80.44,61.41
The REAPER Blog,"Hard to say, fun to play Stochasticizer MIDI Sequencer JSFX plugin for REAPER",https://www.youtube.com/watch?v=znnYVDC-HKc,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",10187,2019-08-11,14:38,878,66.67,-89.32,-52.58
Richard Savage Voice,Don't Overcomplicate It: Easy Reaper Setup for Voice Actors,https://www.youtube.com/watch?v=6CtVZtETgC0,Beginner Guides (Beginner Guides),10113,2025-09-13,16:04,964,-7.31,-39.08,42.46
Mike Lane - Game Audio,FMOD vs Wwise (Part 4) | Creating footsteps in FMOD | Tutorial,https://www.youtube.com/watch?v=3xVcA-TSpk4,Game Audio & Middleware (Game Audio & Middleware),10111,2018-08-11,21:39,1299,63.45,77.45,-13.16
Akash Thakkar,Reaper for Game Audio | Part 10 - Exporting,https://www.youtube.com/watch?v=u77AKWZTWz4,Game Audio & Middleware (Game Audio & Middleware),10045,2021-08-10,20:15,1215,78.71,48.63,-6.25
Dawn Shift Audio,Ultimate Reaper Setup Guide!,https://www.youtube.com/watch?v=VQSqrKo8WDc,Custom Scripts & Actions (Custom Scripts & Actions),10034,2025-12-12,17:18,1038,68.88,-67.46,62.31
Adam Steel,Reaper 101 Part 8:- VSTi Drum Routing,https://www.youtube.com/watch?v=slunVQnwvQI,"Audio Mixing & Routing (Audio Mixing & Routing, MIDI Editing & Virtual Instruments)",9733,2024-08-09,22:04,1324,95.13,-62.99,-17.54
ReaperTV,Reaper Tutorial: Creating Track Templates,https://www.youtube.com/watch?v=wQX81as3oTA,Custom Scripts & Actions (Custom Scripts & Actions),9370,2015-08-12,06:25,385,71.3,-43.53,77.8
Daniel's Tech World,Using Reaper DAW on Ubuntu Linux (Demo),https://www.youtube.com/watch?v=TFZQwe4uT78,Beginner Guides (Beginner Guides),9320,2023-08-10,05:25,325,40.19,-28.25,-15.28
Mr Weber,How do I make my recording the right volume in Reaper? A Limiter on the Master Bus,https://www.youtube.com/watch?v=Pd5OUWPpYD0,"Audio Mixing & Routing (Audio Mixing & Routing, Mastering & Loudness)",9304,2022-08-10,03:05,185,87.73,-9.64,-45.79
Elias Uribe,HOW TO LIMIT AND MEASURE LUFS? | HOW TO MASTER IN REAPER #4,https://www.youtube.com/watch?v=hKP972VbtPI,Mastering & Loudness (Mastering & Loudness),9204,2022-08-10,13:14,794,73.24,-12.79,37.33
UNdark REAPER DAW CSI.,Reaper DAW - CSI Install and basic programming,https://www.youtube.com/watch?v=U7idVWp7WV0,Beginner Guides (Beginner Guides),9090,2021-08-10,12:22,742,39.22,15.9,-47.47
REAPER Mania,A Faster Way to Add FX in REAPER,https://www.youtube.com/watch?v=IF766VOmd2M,Beginner Guides (Beginner Guides),9051,2026-07-10,14:41,881,0.0,30.91,14.07
The REAPER Blog,MIDI Triggered Gate JSFX for REAPER,https://www.youtube.com/watch?v=mvJg8ja5WkM,"JSFX & Plugin DSP (JSFX & Plugin DSP, MIDI Editing & Virtual Instruments)",9046,2020-08-10,08:38,518,66.14,-92.19,-35.32
IDDQD Sound,Let's learn Scripting in REAPER Ep00: Series Overview (with Leandro Facchinetti),https://www.youtube.com/watch?v=p8V_rZkOTKc,Beginner Guides (Beginner Guides),8820,2021-08-10,09:10,550,48.06,-10.17,93.9
REAPER Mania,Recording into MegaBaby in REAPER,https://www.youtube.com/watch?v=4QxG1MNj4Qs,Beginner Guides (Beginner Guides),8752,2026-07-10,17:14,1034,25.41,-22.45,-54.87
IDDQD Sound,Let's learn scripting in REAPER Ep01: Reading Scripts Basics (with Leandro Facchinetti),https://www.youtube.com/watch?v=TseWlyVZEM4,"Beginner Guides (Beginner Guides, Custom Scripts & Actions)",8741,2021-08-10,11:35,695,45.96,-23.61,92.55
Akash Thakkar,Reaper for Game Audio | Part 12 - Reaper & FMOD,https://www.youtube.com/watch?v=4xWPcS6v_6A,Game Audio & Middleware (Game Audio & Middleware),8733,2021-08-10,09:22,562,70.0,45.68,-5.43
The REAPER Blog,Moving Camera Effect - Manual Motion Tracking Video in REAPER,https://www.youtube.com/watch?v=lE8mGsBRJP4,Beginner Guides (Beginner Guides),8486,2020-08-10,14:48,888,38.17,-57.61,-55.94
The REAPER Blog,Make your own toolbox in REAPER,https://www.youtube.com/watch?v=V7X5xiIsFeE,Beginner Guides (Beginner Guides),8436,2025-08-09,16:27,987,43.7,-7.92,-10.9
The REAPER Blog,Video Podcast Production in REAPER,https://www.youtube.com/watch?v=y2SRQh-GKGE,Beginner Guides (Beginner Guides),8427,2022-08-10,22:11,1331,9.29,14.04,-67.7
IDDQD Sound,How to Download & Import Custom Scripts in Reaper (Rapid-Fire Tutorials Ep47),https://www.youtube.com/watch?v=LGkB9EOn3sE,Beginner Guides (Beginner Guides),8138,2021-08-10,03:27,207,48.82,-27.93,39.19
Lewis Gale,Reaper multitrack recording - routing matrix,https://www.youtube.com/watch?v=-i2E_Q3E4FM,Audio Mixing & Routing (Audio Mixing & Routing),7999,2023-08-10,05:30,330,99.41,-3.28,-41.68
The REAPER Blog,Advanced Game Audio SFX Render Workflow,https://www.youtube.com/watch?v=p7mvLzrfcfo,"Custom Scripts & Actions (Custom Scripts & Actions, Game Audio & Middleware, Mastering & Loudness)",7970,2016-08-11,09:33,573,87.95,-27.2,76.45
Tom Coote,Make a Jesusonic JSFX Plugin in Reaper,https://www.youtube.com/watch?v=A7rLh7-wp5g,JSFX & Plugin DSP (JSFX & Plugin DSP),7630,2022-08-10,14:48,888,53.8,-58.35,-91.36
Jon Meyer Music,My Mastering Workflow In Reaper,https://www.youtube.com/watch?v=cy0VoNIZV08,"Custom Scripts & Actions (Custom Scripts & Actions, Mastering & Loudness)",7591,2022-08-10,12:50,770,80.25,-28.48,60.36
The REAPER Blog,How to use REAPER Toolbar Creator,https://www.youtube.com/watch?v=y4HNQovs3BY,Beginner Guides (Beginner Guides),7581,2025-12-12,10:18,618,55.72,-34.49,4.03
The REAPER Blog,REAPER Blog Q & A # 10 | OMF; Peak files; spotting sfx; limiting,https://www.youtube.com/watch?v=xK4coA3_SX4,Beginner Guides (Beginner Guides),7447,2016-08-11,06:59,419,20.41,-52.93,-4.04
The REAPER Blog,"REAPER Fast Edit mode, Producing like Carpenter Brut, Combining mics - REAPER Blog Q&A # 37",https://www.youtube.com/watch?v=T1Vjos3-7Tw,Beginner Guides (Beginner Guides),7287,2020-08-10,15:57,957,20.31,-54.98,-30.37
REAPER Mania,"Markers, Regions and Lanes in REAPER - Part 1",https://www.youtube.com/watch?v=XBH0UUg4Rns,Beginner Guides (Beginner Guides),7051,2026-04-11,10:51,651,7.53,14.18,36.85
